No,Name,PTI-IND,MQM-P,JIP,PPP,Total Votes,Filename
248,Deaf Reach Schools & Colleges (Old Name of Building Government Mono,360,19,34,10,,
249,Deaf Reach Schools & Colleges (Old Name of Building Government Mono,395,19,65,20,,
250,Deaf Reach Schools & Colleges (Old Name of Building Government Mono Technical College) Block-12 Gulistan-e- Johar (Combined),0,0,0,0,,
251,Deaf Reach Schools & Colleges (Old Name of Building Government Mono Technical College) Block-12 Gulistan-e- Johar (Combined),432,29,45,11,,
252,Deaf Reach Schools & Colleges (Old Name of Building Government Mono Technical College) Block-12 Gulistan-e- Johar (Combined),592,19,82,38,,
253,Government Girls Degree College Block-12 Gulistan-e-Johar (Combined),401,17,43,18,,
254,Government Girls Degree College lock-12 Gulistan-e-Johar (Combined),514,22,64,35,,
255,Government Girls Degree College lock-12 Gulistan-e-Johar (Combined),611,0,121,29,,
256,I.L.A.D. School Rabia City Gulistan-e- Johar Block- 18 (Combined),454,34,69,59,,
257,I.L.A.D. School Rabia City Gulistan-e- Johar Block- 18 (Combined),412,21,63,61,,
258,"Metropolitan Academy, Campus-II, Behind Darul Sehat Hospital Block-15 Gulistan-e-Johar (Combined)",331,20,40,16,,
259,"Metropolitan Academy, Campus-II, Behind Darul Sehat Hospital Block-15 Gulistan-e-Johar (Combined)",553,50,85,16,,
260,"Metropolitan Academy, Campus-II, Behind Darul Sehat Hospital Block-15 Gulistan-e-Johar (Combined)",312,12,40,15,,
261,"Metropolitan Academy, Campus-II, Behind Darul Sehat Hospital Block-15 Gulistan-e-Johar (Combined)",431,22,74,22,,
262,"Metropolitan Academy, Campus-II, Behind Darul Sehat Hospital Block-15 Gulistan-e-Johar (Combined)",489,11,46,19,,
263,"Metropolitan Academy, Campus-II, Behind Darul Sehat Hospital Block-15 Gulistan-e-Johar (Combined)",486,32,79,16,,
264,"Metropolitan Academy, Campus-II, Behind Darul Sehat Hospital Block-15 Gulistan-e-Johar (Combined)",236,14,45,16,,
265,"S.N.Public School, Block-17 Gulistan-e-Johar (Combined)",189,23,30,8,,
266,"Sir Jee Collegate Johar Campus, Shumail Arcade (Combined)",425,258,3,11,,
267,"Community Hall In Rufi Lake Drive, Block-18 Gulistan-e-Johar (Combined) Partially Improvised",472,33,84,56,,
268,"Community Hall In Rufi Lake Drive, Block-18 Gulistan-e-Johar (Combined) Partially Improvised",249,16,38,14,,
269,The Impressions School Montesory to Matric Near KESC Office Block 19 Gulistan-e-Johar (Combined),329,12,56,18,,
270,Al-nasar schooling system near KESC office block 19 Gulistan-e-jauhar,326,11,145,12,,
271,Al-nasar schooling system near KESC office block 19 Gulistan-e-jauhar,248,9,4,58,,
272,City High School Near KESC Office lock 19 Gulistan-e-Johar (Combined),405,0,79,2,,
273,City High School Near KESC Office lock 19 Gulistan-e-Johar (Combined),285,28,57,18,,
274,City High School Near KESC Office Block 19 Gulistan-e-Johar (Combined),342,11,45,13,,
275,City High School Near KESC Office Block 19 Gulistan-e-Johar (Combined),486,46,105,15,,
276,City High School Near KESC Office Block 19 Gulistan-e-Johar (Combined),0,0,0,0,,
277,"Bahria Model School SRE-Hanif, (Combined)",620,26,133,2,,
278,"Bahria Model School SRE-Hanif, (Combined)",0,0,0,0,,
279,"Bahria Model School SRE-Hanif, (Combined)",168,0,49,3,,
280,"Government Degree College SRE Majeed, (Combined)",86,12,169,10,,
281,"Bahria Model School SRE-Hanif, (Combined)",276,3,64,4,,
282,"Bahria Model School SRE-Hanif, (Combined)",143,0,46,6,,
283,"Bahria Model School SRE-Hanif, (Combined)",136,2,56,8,,
284,"Bahria Model School SRE-Hanif, (Combined)",183,7,58,13,,
285,The Rajus,240,3,55,177,,
286,"Karachi Development Authority (KDA) Government Boys Secondary School, General Purra, DOHS (Combined)",402,11,47,9,,
287,"Karachi Development Authority (KDA) Government Boys Secondary School, General Purra, DOHS (Combined)",349,7,57,12,,
288,"Meridian Grammer School Block-10-A, (Combined)",453,33,107,12,,
289,"Residence executive Committee Office, Askari-IV (Combined) (Partially Improvised)",0,0,0,0,,
290,"Residence executive Committee Office, Askari-IV (Combined) (Partially Improvised)",0,0,0,0,,
291,"The Educator School, Gulshan-e-Jamal (Combined)",0,0,0,0,,
292,"The Smart School C-18, Block-B, Gulshan-e-Jamal (Combined)",604,9,209,16,,
293,"The Smart School C-18, Block-B, Gulshan-e-Jamal (Combined)",325,39,127,8,,
294,"The Smart School C-18, Block-B, Gulshan-e-Jamal (Combined)",593,12,235,27,,
