No,Name,PML-N,PPP,PTI-IND,Total Votes,Filename
239,گورنمنٹ بوائز ہائی سکول، چک نمبر 390/گ ب ایسٹ (مشترکہ),151,0,291,,
240,گورنمنٹ بوائز ایلیمنٹری سکول، چک نمبر 467/گ ب (مرد),398,0,325,,
241,گورنمنٹ بوائز ایلیمنٹری سکول، چک نمبر 467/گ ب (عورت),0,0,0,,
242,گورنمنٹ گرلز ہائی سکول، چک نمبر 467/گ ب (مشترکہ),458,0,315,,
243,گورنمنٹ بوائز ہائی سکول، چک نمبر 463/گ ب ایسٹ (مرد),361,0,385,,
244,گورنمنٹ گرلز ہائی سکول، چک نمبر 463/گ ب ایسٹ (عورت),152,0,178,,
245,گورنمنٹ بوائز ہائی سکول، چک نمبر 463/گ ب ایسٹ (مرد),0,0,0,,
246,گورنمنٹ گرلز ایلیمنٹری سکول، چک نمبر 463/گ ب ایسٹ (مرد),355,0,287,,
247,گورنمنٹ گرلز ایلیمنٹری سکول، چک نمبر 463/گ ب ایسٹ (عورت),0,0,0,,
248,گورنمنٹ بوائز ایلیمنٹری سکول، چک نمبر 439/گ ب محالم (مرد),441,0,180,,
249,گورنمنٹ گرلز ہائی سکول، چک نمبر 439/گ ب محلم (عورت),0,0,0,,
250,گورنمنٹ گرلز ہائی سکول، چک نمبر 439/گ ب محالم (مشترکہ),217,0,342,,
251,گورنمنٹ بوائز پرائمری سکول، چک نمبر 468/گ ب (مرد),530,0,363,,
252,گورنمنٹ بوائز پرائمری سکول، چک نمبر 468/گ ب (مرد),157,0,163,,
253,گورنمنٹ گرلز ایلیمنٹری سکول، چک نمبر 468/گ ب (عورت),0,0,0,,
254,گورنمنٹ بوائز ہائی سکول، پرائمری پورشن چک نمبر 469/گ ب (مرد),0,0,0,,
255,گورنمنٹ بوائز ہائی سکول، پرائمری پورشن چک نمبر 469/گ ب (مرد),120,0,300,,
256,گورنمنٹ گرلز ہائیر سیکنڈری سکول، چک نمبر 469/گ ب (عورت),188,0,558,,
257,گورنمنٹ گرلز ایلیمنٹری سکول چک 174/گ ب-I شمالی (مشترکہ),211,0,591,,
258,گورنمنٹ چشتیہ سراجیہ بوائز ہائی سکول، چک نمبر 174/گ ب جنوبی (مشترکہ),188,0,195,,
259,گورنمنٹ بوائز پرائمری سکول، چک نمبر 175/گ ب نان پی (مشترکہ),386,0,446,,
260,گورنمنٹ بوائز مڈل سکول، چک نمبر 176/گ ب (مرد),270,0,165,,
261,گورنمنٹ گرلز کمیونٹی ماڈل ایلیمنٹری سکول، چک نمبر۔176/گ ب (عورت),213,0,145,,
262,گورنمنٹ بوائز ہائی سکول، چک نمبر 177/گ ب (مرد),0,0,0,,
263,گورنمنٹ گرلز مڈل سکول، چک نمبر 177/گ ب (عورت),278,0,201,,
264,گورنمنٹ بوائز پرائمری سکول، چک نمبر 165/گ ب ویسٹ ہرسا کوٹ (مشترکہ),300,0,385,,
265,گورنمنٹ گرلز ایلیمنٹری سکول، چک نمبر 165/گ ب، دلیل پور (مشترکہ),373,0,256,,
