No,Name,PTI-IND,PML-N,PPP,JIP,Total Votes,Filename
191,"Islamabad Model School for Boys (I-X) Talhar, Islamabad. (Female)",142,386,72,16,,
192,"Islamabad College for Girls (Post Graduate) F-6/2, Islamabad.  (Male) Hill Road Gate",244,64,8,13,,
193,"Islamabad College for Girls (Post Graduate) F-6/2, Islamabad. (Female)  Hill Road Ga",231,39,5,7,,
194,"Islamabad Model School (I-V) Street, F-6/4, Islamabad.(Male)",275,85,17,22,,
195,"Islamabad Model School (I-V) Street, F-6/4, Islamabad.(Female)",230,55,10,10,,
196,"Islamabad College for Girls (Post Graduate) F-6/2, Islamabad.  (Male)  School Road G",271,170,32,8,,
197,"Islamabad College for Girls (Post Graduate) F-6/2, Islamabad. (Female)  School Road",270,117,16,11,,
198,"Islamabad Model College for Girls Street No. 25 F-6/2, Islamabad. (Combined)",107,209,51,0,,
199,"Islamabad Model College for Girls Street No. 25 F-6/2, Islamabad. (Male)",163,184,89,2,,
200,"Islamabad Model College for Girls Street No. 25 F-6/2, Islamabad. (Female)",90,133,72,4,,
201,"Islamabad Model School for Girls (VI-X) F-6/1, Islamabad. (Male)",438,143,27,29,,
202,"Islamabad Model School for Girls (VI-X) F-6/1, Islamabad. (Female)",453,105,10,22,,
203,"Islamabad Model School (I-V) F-6/1, Islamabad. (Male)",279,75,11,25,,
204,"Islamabad Model School (I-V) F-6/1, Islamabad. (Female)",328,55,10,18,,
205,"Islamabad Model School (I-V) F-6/1, Islamabad. (Combined)",106,32,4,7,,
206,"Islamabad Model School for Girls (I-VIII) F-7/1, Islamabad. (Male)",293,80,4,17,,
207,"Islamabad Model School for Girls (I-VIII) F-7/1, Islamabad. (Female)",310,42,7,19,,
208,"Islamabad Model School for Girls (I-VIII) F-7/1, Islamabad. (Male)",180,50,6,13,,
209,"Islamabad Model School for Girls (I-VIII) F-7/1, Islamabad. (Female",168,32,0,8,,
210,"Islamabad Model School for Girls (I-VIII) F-7/4, Islamabad. (Male)",191,137,160,17,,
211,"Islamabad Model School for Girls (I-VIII) F-7/4, Islamabad. (Female)",169,80,115,14,,
212,"Islamabad Model School for Girls (I-VIII) F-7/4, Islamabad. (Male)",96,91,141,9,,
213,"Islamabad Model School for Girls (I-VIII) F-7/4, Islamabad. (Female)",64,67,82,6,,
214,"Islamabad Model School (I-V) E-7/4, Islamabad. (Male)",204,61,3,11,,
215,"Islamabad Model School (I-V) E-7/4, Islamabad. (Female)",218,44,4,3,,
216,"Islamabad Model College for Boys F-7/3, Islamabad. (Male)",171,31,5,4,,
217,"Islamabad Model College for Boys F-7/3, Islamabad. (Female)",172,16,3,5,,
218,"Islamabad Model College for Boys F-7/3, Islamabad. (Male)",218,74,9,9,,
